BULKLOAD Testcases/TC_2/sortedData_2_10_100.txt 100
INSERT 407758942 880655926
INSERT 2129149659 213275477
INSERT 1947648957 1326152367
INSERT 1154871310 1714111936
INSERT 973277757 731159142
INSERT 1195642587 484685256
INSERT 1027742903 804238892
INSERT 1782084751 95409222
INSERT 1977411597 1496243256
INSERT 1144669835 917226079
INSERT 663346543 520175671
INSERT 2145475865 1691392108
INSERT 105734225 671754075
INSERT 124888058 997403811
INSERT 1984562929 2062867570
INSERT 1267945984 244838223
INSERT 796039849 1249611995
INSERT 458113700 596205158
INSERT 428280715 1612985010
INSERT 162833446 1401558472
INSERT 196660504 1358476033
INSERT 1886243729 1224403408
INSERT 15231277 1520844832
INSERT 1319812630 1992642875
INSERT 869604441 316998817
INSERT 762385306 1532950984
INSERT 837174489 760377523
INSERT 1076859444 942908714
INSERT 1432131598 1201747502
INSERT 1940312525 1269210879
INSERT 1117131425 1060774861
INSERT 1514049102 1913171274
INSERT 162903209 1972162803
INSERT 361892784 591183924
INSERT 1437664165 524726231
INSERT 1992742396 1634324670
INSERT 1883202264 1731502477
INSERT 711244430 1898433542
INSERT 1104863662 2031057060
INSERT 1743592769 1974468103
INSERT 200572230 358494427
INSERT 1359935439 1037746719
INSERT 1118871951 289311235
INSERT 1980655433 403519901
INSERT 1491058738 1773484311
INSERT 1672730781 460706515
INSERT 686775524 1039296235
INSERT 226394141 849678733
INSERT 863975390 588286925
INSERT 1440862657 154155908
INSERT 1113013156 1286121406
INSERT 1788480578 848731773
INSERT 870140235 352241360
INSERT 599681667 1975003897
INSERT 235814772 195790788
INSERT 1801988352 436387002
INSERT 554285215 1014440143
INSERT 1474133721 1673157166
INSERT 1303751379 1307305507
INSERT 2076677068 647326469
INSERT 933306170 1601924201
INSERT 1108032984 1620081694
INSERT 493736788 1334427125
INSERT 322276780 1357712179
INSERT 1922714050 1763139437
INSERT 1511868087 888243559
INSERT 901777195 1152865017
INSERT 1736975332 1771917431
INSERT 1505106377 189173351
INSERT 1599437680 1740921149
INSERT 384964139 1253942385
INSERT 29824504 939249354
INSERT 120898880 1503958225
INSERT 464922873 1424650259
INSERT 663780084 394116293
INSERT 2071976728 1597086254
INSERT 1996040494 1032526064
INSERT 1069684301 342293634
INSERT 219469541 1391961081
INSERT 1700005813 2142183592
INSERT 1007616870 1064390252
INSERT 882943503 1909394066
INSERT 69771621 472435187
INSERT 1533827849 1574877998
INSERT 661608538 985781881
INSERT 1168315500 1046572677
INSERT 92240618 1198140004
INSERT 1985822031 213139499
INSERT 554614581 303261256
INSERT 1637789758 1218394666
INSERT 697377549 1562282839
INSERT 667997272 545934395
INSERT 447325255 1737681573
INSERT 888228030 666794797
INSERT 982159006 440750195
INSERT 661494741 1989775877
INSERT 1505140448 1544438244
INSERT 1751686295 1574912069
INSERT 2016873431 1138030496
INSERT 1002306420 530998321
QUERY 1577570998 68569348
QUERY 1641876843 1245134883
QUERY 908477296 37620980
QUERY 814998935 1781623052
QUERY 1887044266 39255336
